sector,alojamiento_formal,gastronomia_bar,vivienda_turistica,avaluo_ph_m2,total_puntos,vt_2023,crecimiento_pct,pct_vivienda_turistica,pct_alojamiento_formal,pct_gastronomia_bar,intensidad_vt,pct_fuera_zit,cluster_id,nodo,perfil
PUENTE ARANDA,1,0,4,4056865.5524999998,5,2.0,66.7,80.0,20.0,0.0,1.6094379124341003,100.0,0,5-6,Foco turístico emergente
PUENTE LARGO,0,1,21,4654147.425,22,15.0,37.5,95.5,0.0,4.5,3.091042453358316,100.0,0,2-6,Foco turístico emergente
PUERTA DE TEJA,2,0,3,3398296.24,5,1.0,100.0,60.0,40.0,0.0,1.3862943611198906,100.0,1,7-6,"Residencial ordinario, sin presión turística"
QUESADA,4,0,55,2942930.591666667,59,21.0,154.5,93.2,6.8,0.0,4.02535169073515,92.72727272727272,0,1-4,Foco turístico emergente
QUINTA CAMACHO,7,1,84,3581581.52375,92,56.0,49.1,91.3,7.6,1.1,4.442651256490317,0.0,0,0-5,Foco turístico emergente
QUINTA MUTIS,0,1,4,3780603.045,5,3.0,25.0,80.0,0.0,20.0,1.6094379124341003,100.0,5,2-2,"Residencial ordinario, sin presión turística"
QUINTA PAREDES,49,0,82,4687024.9781818185,131,12.0,538.5,62.6,37.4,0.0,4.418840607796598,0.0,4,1-8,Núcleo turístico consolidado
RESTREPO,2,1,2,4497112.295,5,1.0,50.0,40.0,40.0,20.0,1.0986122886681098,100.0,1,6-7,"Residencial ordinario, sin presión turística"
RESTREPO OCCIDENTAL,0,1,4,2741471.685,5,0.0,400.0,80.0,0.0,20.0,1.6094379124341003,100.0,5,8-2,"Residencial ordinario, sin presión turística"
RICAURTE,3,0,8,2908698.643333333,11,2.0,200.0,72.7,27.3,0.0,2.1972245773362196,100.0,1,7-4,"Residencial ordinario, sin presión turística"
RINCON ALTAMAR,0,0,3,3398296.24,3,1.0,100.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,6-2,"Residencial ordinario, sin presión turística"
RINCON DE SANTA INES,0,0,3,3398296.24,3,1.0,100.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,6-2,"Residencial ordinario, sin presión turística"
RINCON DEL CHICO,4,1,197,7163316.8084482765,202,120.0,63.6,97.5,2.0,0.5,5.288267030694535,98.98477157360406,0,2-8,Foco turístico emergente
RIONEGRO,0,1,5,3398296.24,6,3.0,50.0,83.3,0.0,16.7,1.791759469228055,100.0,5,2-2,"Residencial ordinario, sin presión turística"
SABANA DEL DORADO,0,0,3,3398296.24,3,2.0,33.3,100.0,0.0,0.0,1.3862943611198906,100.0,3,5-3,"Residencial ordinario, sin presión turística"
SABANA GRANDE,0,0,4,1858330.39,4,4.0,0.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,6-0,"Residencial ordinario, sin presión turística"
SAGRADO CORAZON,0,0,40,4145609.5652777776,40,36.0,10.8,100.0,0.0,0.0,3.713572066704308,100.0,0,2-5,Foco turístico emergente
SALAZAR GOMEZ,2,0,3,3398296.24,5,2.0,33.3,60.0,40.0,0.0,1.3862943611198906,100.0,1,7-6,"Residencial ordinario, sin presión turística"
SALITRE OCCIDENTAL,1,9,20,4372363.447272727,30,16.0,23.5,66.7,3.3,30.0,3.044522437723423,75.0,5,1-2,"Residencial ordinario, sin presión turística"
SALITRE SUBA,0,0,3,2509795.68,3,3.0,0.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,5-1,"Residencial ordinario, sin presión turística"
