sector,alojamiento_formal,gastronomia_bar,vivienda_turistica,avaluo_ph_m2,total_puntos,vt_2023,crecimiento_pct,pct_vivienda_turistica,pct_alojamiento_formal,pct_gastronomia_bar,intensidad_vt,pct_fuera_zit,cluster_id,nodo,perfil
CENTRO FONTIBON,9,0,6,2696792.5399999996,15,12.0,-46.2,40.0,60.0,0.0,1.9459101490553132,100.0,1,8-7,"Residencial ordinario, sin presión turística"
CENTRO NARINO,1,0,5,3106170.2883333336,6,4.0,20.0,83.3,16.7,0.0,1.791759469228055,0.0,1,6-5,"Residencial ordinario, sin presión turística"
CHAPINERO CENTRAL,20,0,766,4180280.283869499,786,245.0,211.8,97.5,2.5,0.0,6.642486801367256,0.13054830287205776,0,0-6,Foco turístico emergente
CHAPINERO NORTE,5,0,95,4678891.9331249995,100,33.0,182.4,95.0,5.0,0.0,4.564348191467836,0.0,0,1-6,Foco turístico emergente
CHAPINERO OCCIDENTAL,6,0,69,3655087.3333333335,75,56.0,22.8,92.0,8.0,0.0,4.248495242049359,85.5072463768116,0,0-5,Foco turístico emergente
CHICO NORTE,27,7,311,6496217.265887446,345,158.0,96.2,90.1,7.8,2.0,5.7430031878094825,10.61093247588425,0,2-8,Foco turístico emergente
CHICO NORTE II SECTOR,22,3,164,6695496.8984259255,189,77.0,111.5,86.8,11.6,1.6,5.10594547390058,0.0,0,2-8,Foco turístico emergente
CHICO NORTE III SECTOR,6,2,258,5550060.548834952,266,155.0,66.0,97.0,2.3,0.8,5.556828061699537,89.14728682170544,0,2-8,Foco turístico emergente
CIUDAD HAYUELOS,0,2,31,4359574.225769231,33,16.0,88.2,93.9,0.0,6.1,3.4657359027997265,100.0,0,2-6,Foco turístico emergente
CIUDAD JARDIN NORTE,0,0,6,4189405.2,6,6.0,0.0,100.0,0.0,0.0,1.9459101490553132,100.0,0,4-5,Foco turístico emergente
CIUDAD KENNEDY CENTRAL,3,0,1,2493127.27,4,1.0,0.0,25.0,75.0,0.0,0.6931471805599453,100.0,1,8-8,"Residencial ordinario, sin presión turística"
CIUDAD KENNEDY NORTE,14,0,1,3398296.24,15,0.0,100.0,6.7,93.3,0.0,0.6931471805599453,100.0,1,7-8,"Residencial ordinario, sin presión turística"
CIUDAD SALITRE NOR-ORIENTAL,3,5,10,3823239.1672727275,18,7.0,37.5,55.6,16.7,27.8,2.3978952727983707,100.0,5,0-2,"Residencial ordinario, sin presión turística"
CIUDAD SALITRE SUR-ORIENTAL,1,0,10,3547368.0566666666,11,13.0,-21.4,90.9,9.1,0.0,2.3978952727983707,100.0,0,5-5,Foco turístico emergente
CIUDAD TECHO II,1,0,7,2552772.041428571,8,6.0,14.3,87.5,12.5,0.0,2.0794415416798357,100.0,1,5-0,"Residencial ordinario, sin presión turística"
CIUDADELA COLSUBSIDIO,0,0,4,2554464.93,4,3.0,25.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,5-1,"Residencial ordinario, sin presión turística"
CLARET,1,0,2,3398296.24,3,0.0,200.0,66.7,33.3,0.0,1.0986122886681098,100.0,1,8-5,"Residencial ordinario, sin presión turística"
CLUB DE LOS LAGARTOS,0,1,4,3237181.8049999997,5,2.0,66.7,80.0,0.0,20.0,1.6094379124341003,100.0,5,2-2,"Residencial ordinario, sin presión turística"
COLOMBIA,7,0,6,3038905.042857143,13,3.0,75.0,46.2,53.8,0.0,1.9459101490553132,0.0,1,8-6,"Residencial ordinario, sin presión turística"
COMUNEROS,1,0,6,3517678.6859999998,7,0.0,600.0,85.7,14.3,0.0,1.9459101490553132,100.0,3,8-3,"Residencial ordinario, sin presión turística"
CONCEPCION NORTE,1,0,12,3398296.24,13,6.0,85.7,92.3,7.7,0.0,2.5649493574615367,0.0,0,4-4,Foco turístico emergente
COUNTRY CLUB,0,0,5,4482798.43,5,5.0,0.0,100.0,0.0,0.0,1.791759469228055,100.0,0,4-5,Foco turístico emergente
DOCE DE OCTUBRE,0,0,4,3062507.75,4,2.0,66.7,100.0,0.0,0.0,1.6094379124341003,100.0,3,5-2,"Residencial ordinario, sin presión turística"
EDUARDO SANTOS,0,0,7,2002528.7299999997,7,6.0,14.3,100.0,0.0,0.0,2.0794415416798357,100.0,3,6-0,"Residencial ordinario, sin presión turística"
EGIPTO,11,0,77,2354589.4822580647,88,70.0,9.9,87.5,12.5,0.0,4.356708826689592,0.0,0,0-4,Foco turístico emergente
EL CARMEN FONTIBON,4,0,3,4996562.2524999995,7,1.0,100.0,42.9,57.1,0.0,1.3862943611198906,100.0,1,6-8,"Residencial ordinario, sin presión turística"
EL CHANCO I,0,0,7,2426377.486666667,7,6.0,14.3,100.0,0.0,0.0,2.0794415416798357,100.0,3,5-0,"Residencial ordinario, sin presión turística"
EL CHICO,4,4,34,5184661.9775,42,38.0,-10.3,81.0,9.5,9.5,3.5553480614894135,100.0,0,3-7,Foco turístico emergente
EL CONTADOR,0,0,17,4733700.71125,17,9.0,80.0,100.0,0.0,0.0,2.8903717578961645,100.0,0,3-6,Foco turístico emergente
EL CORTIJO,0,0,5,2603907.936666667,5,6.0,-14.3,100.0,0.0,0.0,1.791759469228055,100.0,3,5-1,"Residencial ordinario, sin presión turística"
EL DORADO INDUSTRIAL,1,1,3,2597694.4133333336,5,3.0,0.0,60.0,20.0,20.0,1.3862943611198906,100.0,5,3-0,"Residencial ordinario, sin presión turística"
EL ENCANTO,1,0,12,3121188.2249999996,13,6.0,85.7,92.3,7.7,0.0,2.5649493574615367,100.0,0,3-3,Foco turístico emergente
EL ENSUENO,0,3,1,2803199.84,4,1.0,0.0,25.0,0.0,75.0,0.6931471805599453,100.0,2,1-0,"Gastronomía / vida local, sin presión turística"
EL GACO,1,0,6,2652027.03,7,1.0,250.0,85.7,14.3,0.0,1.9459101490553132,100.0,1,7-4,"Residencial ordinario, sin presión turística"
EL LAUREL,1,0,5,3398296.24,6,0.0,500.0,83.3,16.7,0.0,1.791759469228055,100.0,3,8-3,"Residencial ordinario, sin presión turística"
EL LISTON,1,0,5,2534132.58,6,9.0,-40.0,83.3,16.7,0.0,1.791759469228055,100.0,1,5-0,"Residencial ordinario, sin presión turística"
EL MINUTO DE DIOS,0,0,4,2605787.255,4,6.0,-28.6,100.0,0.0,0.0,1.6094379124341003,100.0,3,5-1,"Residencial ordinario, sin presión turística"
EL MUELLE,0,0,3,1896384.13,3,1.0,100.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,7-0,"Residencial ordinario, sin presión turística"
EL NOGAL,2,0,11,4861887.524,13,7.0,50.0,84.6,15.4,0.0,2.4849066497880004,27.27272727272727,0,4-7,Foco turístico emergente
EL PINO,2,0,3,1948899.11,5,0.0,300.0,60.0,40.0,0.0,1.3862943611198906,100.0,1,8-5,"Residencial ordinario, sin presión turística"
EL PLAN,0,0,10,2841561.28,10,11.0,-8.3,100.0,0.0,0.0,2.3978952727983707,100.0,3,4-3,"Residencial ordinario, sin presión turística"
EL REAL,0,1,3,2655461.91,4,3.0,0.0,75.0,0.0,25.0,1.3862943611198906,100.0,5,2-1,"Residencial ordinario, sin presión turística"
EL RECUERDO,44,0,100,5426646.590860216,144,15.0,531.2,69.4,30.6,0.0,4.61512051684126,0.0,4,1-8,Núcleo turístico consolidado
EL REFUGIO,0,0,9,3336896.0579999997,9,3.0,150.0,100.0,0.0,0.0,2.302585092994046,100.0,3,6-3,"Residencial ordinario, sin presión turística"
EL RETIRO,5,1,82,5940138.747468354,88,7.0,937.5,93.2,5.7,1.1,4.418840607796598,10.97560975609756,4,0-7,Núcleo turístico consolidado
EL ROSARIO,1,0,40,3340863.412307692,41,14.0,173.3,97.6,2.4,0.0,3.713572066704308,100.0,0,1-4,Foco turístico emergente
EL SALITRE,5,0,10,3811255.4299999997,15,6.0,57.1,66.7,33.3,0.0,2.3978952727983707,100.0,0,6-6,Foco turístico emergente
EL TINTAL CENTRAL,0,0,21,2651964.104,21,14.0,46.7,100.0,0.0,0.0,3.091042453358316,100.0,0,3-3,Foco turístico emergente
EL TOBERIN,0,0,4,3512265.02,4,0.0,400.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,8-2,"Residencial ordinario, sin presión turística"
EL VERGEL,2,0,3,3186858.7525,5,0.0,300.0,60.0,40.0,0.0,1.3862943611198906,100.0,1,8-5,"Residencial ordinario, sin presión turística"
EL VERGEL ORIENTAL,0,0,6,2985188.83,6,3.0,75.0,100.0,0.0,0.0,1.9459101490553132,100.0,3,4-2,"Residencial ordinario, sin presión turística"
EMAUS,6,0,5,4512169.368571429,11,3.0,50.0,45.5,54.5,0.0,1.791759469228055,0.0,1,6-8,"Residencial ordinario, sin presión turística"
ESPARTILLAL,5,1,61,5493362.05,67,6.0,785.7,91.0,7.5,1.5,4.127134385045092,54.0983606557377,4,0-7,Núcleo turístico consolidado
ESTORIL,2,2,14,5886123.703636364,18,17.0,-16.7,77.8,11.1,11.1,2.70805020110221,100.0,0,3-7,Foco turístico emergente
ESTRELLA,1,1,1,3398296.24,3,1.0,0.0,33.3,33.3,33.3,0.6931471805599453,100.0,5,2-0,"Residencial ordinario, sin presión turística"
ESTRELLA DEL NORTE,1,0,6,3594886.355,7,6.0,0.0,85.7,14.3,0.0,1.9459101490553132,100.0,1,5-5,"Residencial ordinario, sin presión turística"
FERROCAJA FONTIBON,0,0,11,5087202.494,11,10.0,9.1,100.0,0.0,0.0,2.4849066497880004,100.0,0,3-6,Foco turístico emergente
FLORENCIA,0,0,4,2762213.58,4,1.0,150.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,7-1,"Residencial ordinario, sin presión turística"
FLORIDA,0,0,4,2979192.6,4,3.0,25.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,5-2,"Residencial ordinario, sin presión turística"
FLORIDA BLANCA,1,1,6,3084211.6166666667,8,4.0,40.0,75.0,12.5,12.5,1.9459101490553132,100.0,5,2-3,"Residencial ordinario, sin presión turística"
GALAN,0,2,1,1907367.07,3,2.0,-33.3,33.3,0.0,66.7,0.6931471805599453,100.0,2,1-0,"Gastronomía / vida local, sin presión turística"
GALERIAS,5,1,8,4133187.235,14,5.0,50.0,57.1,35.7,7.1,2.1972245773362196,25.0,0,6-7,Foco turístico emergente
GARCES NAVAS SUR,0,0,3,3398296.24,3,0.0,300.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,7-2,"Residencial ordinario, sin presión turística"
GILMAR,0,0,8,2515958.3,8,8.0,0.0,100.0,0.0,0.0,2.1972245773362196,100.0,3,5-0,"Residencial ordinario, sin presión turística"
GRAN AMERICA,7,0,66,3949528.4957142854,73,11.0,458.3,90.4,9.6,0.0,4.204692619390966,100.0,4,1-7,Núcleo turístico consolidado
GRANADA,4,0,53,3825560.550232558,57,44.0,20.0,93.0,7.0,0.0,3.9889840465642745,67.9245283018868,0,1-5,Foco turístico emergente
GRANADA NORTE,1,0,2,6678435.0,3,1.0,50.0,66.7,33.3,0.0,1.0986122886681098,100.0,0,5-8,Foco turístico emergente
GUADALUPE,0,3,0,3398296.24,3,0.0,0.0,0.0,0.0,100.0,0.0,,2,0-0,"Gastronomía / vida local, sin presión turística"
GUADUAL FONTIBON,2,0,2,1734394.9766666666,4,4.0,-40.0,50.0,50.0,0.0,1.0986122886681098,100.0,1,8-7,"Residencial ordinario, sin presión turística"
HIPOTECHO,0,0,4,3398296.24,4,1.0,150.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,6-2,"Residencial ordinario, sin presión turística"
HIPOTECHO OCCIDENTAL,0,3,6,2821333.0324999997,9,1.0,250.0,66.7,0.0,33.3,1.9459101490553132,16.666666666666664,5,1-1,"Residencial ordinario, sin presión turística"
HIPOTECHO SUR,0,0,3,2651890.96,3,2.0,33.3,100.0,0.0,0.0,1.3862943611198906,100.0,3,6-1,"Residencial ordinario, sin presión turística"
IBERIA,0,0,3,3349666.0300000003,3,5.0,-33.3,100.0,0.0,0.0,1.3862943611198906,100.0,3,5-3,"Residencial ordinario, sin presión turística"
INGEMAR,0,0,8,4102825.2999999993,8,5.0,50.0,100.0,0.0,0.0,2.1972245773362196,100.0,0,4-5,Foco turístico emergente
INGLES,0,0,16,3398296.24,16,15.0,6.2,100.0,0.0,0.0,2.833213344056216,100.0,0,3-4,Foco turístico emergente
INTERINDUSTRIAL,0,0,4,3398296.24,4,4.0,0.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,5-3,"Residencial ordinario, sin presión turística"
JARDIN BOTANICO,0,0,4,1997294.6900000002,4,3.0,25.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,6-0,"Residencial ordinario, sin presión turística"
JIMENEZ DE QUESADA,3,0,0,3398296.24,3,0.0,0.0,0.0,100.0,0.0,0.0,,1,7-8,"Residencial ordinario, sin presión turística"
JORGE ELIECER GAITAN,0,0,7,3173732.335,7,1.0,300.0,100.0,0.0,0.0,2.0794415416798357,100.0,3,7-3,"Residencial ordinario, sin presión turística"
JORGE GAITAN CORTES,0,1,2,3312922.24,3,1.0,50.0,66.7,0.0,33.3,1.0986122886681098,100.0,5,1-1,"Residencial ordinario, sin presión turística"
JOSE JOAQUIN VARGAS,0,0,16,3808620.1336363633,16,8.0,88.9,100.0,0.0,0.0,2.833213344056216,100.0,0,3-5,Foco turístico emergente
JUAN XXIII,1,0,16,2698962.45,17,14.0,13.3,94.1,5.9,0.0,2.833213344056216,0.0,0,3-3,Foco turístico emergente
JULIO FLOREZ,0,0,22,3072559.27,22,5.0,283.3,100.0,0.0,0.0,3.1354942159291497,100.0,3,7-3,"Residencial ordinario, sin presión turística"
KASANDRA,4,0,2,3398296.24,6,0.0,200.0,33.3,66.7,0.0,1.0986122886681098,100.0,1,7-7,"Residencial ordinario, sin presión turística"
LA ALAMEDA,24,0,12,2416745.6083333334,36,10.0,18.2,33.3,66.7,0.0,2.5649493574615367,100.0,1,8-7,"Residencial ordinario, sin presión turística"
LA AURORA,0,0,5,3398296.24,5,3.0,50.0,100.0,0.0,0.0,1.791759469228055,0.0,3,5-4,"Residencial ordinario, sin presión turística"
LA CABANA,0,0,4,3012381.935,4,1.0,150.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,7-1,"Residencial ordinario, sin presión turística"
LA CABANA FONTIBON,5,1,3,2897519.1833333336,9,1.0,100.0,33.3,55.6,11.1,1.3862943611198906,100.0,1,7-7,"Residencial ordinario, sin presión turística"
LA CABRERA,6,2,117,5875456.8149999995,125,9.0,1080.0,93.6,4.8,1.6,4.770684624465665,91.45299145299145,4,0-7,Núcleo turístico consolidado
LA CALLEJA,2,0,33,6335151.120869565,35,79.0,-57.5,94.3,5.7,0.0,3.5263605246161616,100.0,0,3-8,Foco turístico emergente
LA CAPUCHINA,13,0,2,3576200.63,15,0.0,200.0,13.3,86.7,0.0,1.0986122886681098,100.0,1,7-8,"Residencial ordinario, sin presión turística"
LA CAROLINA,0,0,25,3475445.273181818,25,22.0,13.0,100.0,0.0,0.0,3.258096538021482,19.999999999999996,0,3-4,Foco turístico emergente
LA CASTELLANA,6,2,88,5442918.640000001,96,23.0,270.8,91.7,6.2,2.1,4.48863636973214,100.0,0,1-7,Foco turístico emergente
LA CATEDRAL,13,2,33,3220180.557407407,48,16.0,100.0,68.8,27.1,4.2,3.5263605246161616,0.0,0,2-4,Foco turístico emergente
LA CONCORDIA,7,1,18,4190094.5719999997,26,15.0,18.8,69.2,26.9,3.8,2.9444389791664403,0.0,0,4-7,Foco turístico emergente
LA ESMERALDA,0,0,6,3398296.24,6,5.0,16.7,100.0,0.0,0.0,1.9459101490553132,100.0,3,5-4,"Residencial ordinario, sin presión turística"
LA ESPERANZA,3,0,10,2774274.566666667,13,3.0,175.0,76.9,23.1,0.0,2.3978952727983707,100.0,1,7-4,"Residencial ordinario, sin presión turística"
LA ESPERANZA NORTE,2,1,17,4022492.7546153846,20,11.0,50.0,85.0,10.0,5.0,2.8903717578961645,76.47058823529412,0,3-5,Foco turístico emergente
LA ESPERANZA SUR,0,0,5,3439389.31,5,11.0,-50.0,100.0,0.0,0.0,1.791759469228055,100.0,3,5-3,"Residencial ordinario, sin presión turística"
LA ESTRADA,1,2,3,2972089.8,6,5.0,-33.3,50.0,16.7,33.3,1.3862943611198906,100.0,5,2-0,"Residencial ordinario, sin presión turística"
LA ESTRADITA,0,1,2,3398296.24,3,0.0,200.0,66.7,0.0,33.3,1.0986122886681098,100.0,5,1-1,"Residencial ordinario, sin presión turística"
LA FAVORITA,12,0,2,1995873.8585714286,14,2.0,0.0,14.3,85.7,0.0,1.0986122886681098,100.0,1,8-8,"Residencial ordinario, sin presión turística"
LA GIRALDA,1,0,2,3398296.24,3,1.0,50.0,66.7,33.3,0.0,1.0986122886681098,100.0,1,7-6,"Residencial ordinario, sin presión turística"
LA GRANJA,1,0,4,3398296.24,5,6.0,-28.6,80.0,20.0,0.0,1.6094379124341003,100.0,1,6-5,"Residencial ordinario, sin presión turística"
LA GRANJA NORTE,0,0,18,2984860.56,18,5.0,216.7,100.0,0.0,0.0,2.9444389791664403,100.0,3,7-3,"Residencial ordinario, sin presión turística"
LA MACARENA,0,0,16,3662562.696363636,16,15.0,6.2,100.0,0.0,0.0,2.833213344056216,62.5,0,3-4,Foco turístico emergente
LA MAGDALENA,3,0,13,4424218.606666666,16,19.0,-30.0,81.2,18.8,0.0,2.6390573296152584,0.0,0,4-7,Foco turístico emergente
LA MAGDALENA I,0,0,3,2327395.45,3,3.0,0.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,5-1,"Residencial ordinario, sin presión turística"
LA PATRIA,0,0,5,3398296.24,5,4.0,20.0,100.0,0.0,0.0,1.791759469228055,100.0,3,5-4,"Residencial ordinario, sin presión turística"
LA PERSEVERANCIA,0,0,17,1738799.56,17,6.0,157.1,100.0,0.0,0.0,2.8903717578961645,100.0,0,8-0,Foco turístico emergente
LA PRADERA,0,0,4,3398296.24,4,0.0,400.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,8-2,"Residencial ordinario, sin presión turística"
LA PRADERA NORTE,2,0,8,3175371.8266666667,10,5.0,50.0,80.0,20.0,0.0,2.1972245773362196,100.0,1,6-4,"Residencial ordinario, sin presión turística"
LA SALLE,1,0,29,4642548.859166667,30,20.0,42.9,96.7,3.3,0.0,3.4011973816621555,79.3103448275862,0,2-6,Foco turístico emergente
LA SOLEDAD,7,0,27,3948434.728125,34,21.0,27.3,79.4,20.6,0.0,3.332204510175204,33.333333333333336,0,2-4,Foco turístico emergente
LA SOLEDAD NORTE,0,0,4,2889706.4933333336,4,1.0,150.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,7-1,"Residencial ordinario, sin presión turística"
LA TRINIDAD,1,0,3,2377216.12,4,0.0,300.0,75.0,25.0,0.0,1.3862943611198906,100.0,1,8-4,"Residencial ordinario, sin presión turística"
LAGO GAITAN,5,4,31,6001482.327894737,40,28.0,10.3,77.5,12.5,10.0,3.4657359027997265,22.580645161290324,0,3-8,Foco turístico emergente
LAS ACACIAS,0,0,5,5213285.115,5,6.0,-14.3,100.0,0.0,0.0,1.791759469228055,80.0,0,4-6,Foco turístico emergente
LAS AGUAS,6,0,26,3198601.14125,32,23.0,12.5,81.2,18.8,0.0,3.295836866004329,11.538461538461542,0,2-4,Foco turístico emergente
LAS AMERICAS,1,0,6,3528534.2175000003,7,4.0,40.0,85.7,14.3,0.0,1.9459101490553132,100.0,1,5-5,"Residencial ordinario, sin presión turística"
LAS BRISAS,0,0,4,3398296.24,4,4.0,0.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,5-3,"Residencial ordinario, sin presión turística"
LAS CRUCES,2,0,7,2654569.0066666664,9,5.0,33.3,77.8,22.2,0.0,2.0794415416798357,100.0,1,6-5,"Residencial ordinario, sin presión turística"
LAS DELICIAS,0,0,3,1613885.0,3,1.0,100.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,7-0,"Residencial ordinario, sin presión turística"
LAS FERIAS,0,0,15,3398296.24,15,9.0,60.0,100.0,0.0,0.0,2.772588722239781,100.0,0,4-4,Foco turístico emergente
LAS FERIAS OCCIDENTAL,2,0,3,3348497.13,5,0.0,300.0,60.0,40.0,0.0,1.3862943611198906,100.0,1,8-5,"Residencial ordinario, sin presión turística"
LAS FLORES,3,0,1,2904025.02,4,2.0,-33.3,25.0,75.0,0.0,0.6931471805599453,100.0,1,8-8,"Residencial ordinario, sin presión turística"
LAS MARGARITAS,0,0,9,3518024.4233333333,9,2.0,233.3,100.0,0.0,0.0,2.302585092994046,100.0,3,7-3,"Residencial ordinario, sin presión turística"
LAS NIEVES,15,4,172,4252171.056351352,191,62.0,174.6,90.1,7.9,2.1,5.153291594497779,61.04651162790697,0,0-6,Foco turístico emergente
LAS ORQUIDEAS,0,0,4,3398296.24,4,0.0,400.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,8-2,"Residencial ordinario, sin presión turística"
LAS VILLAS,0,0,4,4842197.45,4,2.0,66.7,100.0,0.0,0.0,1.6094379124341003,100.0,0,4-6,Foco turístico emergente
LISBOA,1,1,55,6128449.5703703705,57,34.0,60.0,96.5,1.8,1.8,4.02535169073515,100.0,0,3-8,Foco turístico emergente
LLANO GRANDE,2,0,1,2157383.51,3,0.0,100.0,33.3,66.7,0.0,0.6931471805599453,100.0,1,8-8,"Residencial ordinario, sin presión turística"
LOS ALAMOS,1,0,6,2361647.846666666,7,9.0,-30.0,85.7,14.3,0.0,1.9459101490553132,100.0,1,5-0,"Residencial ordinario, sin presión turística"
LOS ANDES,0,0,28,3997414.4405,28,26.0,7.4,100.0,0.0,0.0,3.367295829986474,100.0,0,2-5,Foco turístico emergente
LOS ANGELES,0,0,16,2501874.447777778,16,9.0,70.0,100.0,0.0,0.0,2.833213344056216,100.0,0,3-3,Foco turístico emergente
LOS CEDROS,0,1,80,4192967.5519999997,81,42.0,88.4,98.8,0.0,1.2,4.394449154672439,100.0,0,1-5,Foco turístico emergente
LOS ROSALES,1,0,11,4956826.3133333335,12,15.0,-25.0,91.7,8.3,0.0,2.4849066497880004,100.0,0,3-6,Foco turístico emergente
LOURDES,0,0,4,3398296.24,4,1.0,150.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,6-2,"Residencial ordinario, sin presión turística"
MARANDU,0,0,5,1772703.28,5,3.0,50.0,100.0,0.0,0.0,1.791759469228055,100.0,3,6-0,"Residencial ordinario, sin presión turística"
MARIA CRISTINA,1,1,42,5409693.980666666,44,28.0,48.3,95.5,2.3,2.3,3.7612001156935624,100.0,0,2-7,Foco turístico emergente
MARLY,14,0,36,5220058.95,50,13.0,164.3,72.0,28.0,0.0,3.6109179126442243,11.111111111111116,0,4-8,Foco turístico emergente
MARSELLA,2,1,4,3398296.24,7,5.0,-16.7,57.1,28.6,14.3,1.6094379124341003,100.0,5,6-6,"Residencial ordinario, sin presión turística"
